id,code,county,town,description,date,day,traffic
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-08,Friday,38633
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-09,Saturday,32715
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-10,Sunday,18650
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-11,Monday,33389
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-12,Tuesday,34849
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-13,Wednesday,35261
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-14,Thursday,35542
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-15,Friday,38008
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-16,Saturday,32974
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-17,Sunday,25276
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-18,Monday,33044
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-19,Tuesday,34109
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-20,Wednesday,34757
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-21,Thursday,35904
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-22,Friday,33910
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-23,Saturday,32114
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-24,Sunday,25938
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-25,Monday,34221
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-26,Tuesday,34461
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-27,Wednesday,35334
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-28,Thursday,35823
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-29,Friday,37938
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-30,Saturday,32151
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-03-31,Sunday,25097
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-04-01,Monday,34900
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-04-02,Tuesday,35228
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-04-03,Wednesday,35514
130101020200,20200,Androscoggin,Auburn,Veterans Bridge,2019-04-04,Thursday,35922
